H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Home_W_Pct_10,Away_W_Pct_10,H_Team_Elo_Before,A_Team_Elo_Before
0.0,0.444,0.357,0.794,44.4,20.8,14.5,4.3,1.0,-9.7,109.7,119.3,0.546,0.0,0.474,0.364,0.667,38.8,21.0,19.6,7.3,3.7,-15.1,102.3,117.4,0.569,0,0.0,0.0,1492.7004840546936,1489.6595592479032
0.3329999999999999,0.485,0.423,0.892,38.0,22.7,13.4,8.9,3.8,0.0,119.8,119.4,0.611,0.667,0.519,0.471,0.645,46.0,21.3,16.0,7.0,5.0,10.3,114.7,104.0,0.595,1,0.1,0.1,1502.0560010704387,1502.285105525016
0.667,0.487,0.324,0.867,45.9,25.1,18.2,6.8,6.2,2.3,107.5,104.9,0.574,0.5,0.462,0.411,0.706,42.4,27.8,15.7,5.6,3.0,-3.5,107.1,110.1,0.5870000000000001,1,0.1,0.0,1501.1425005941296,1483.2787296533124
0.0,0.482,0.242,0.7020000000000001,40.2,22.8,11.6,8.0,7.1,-8.0,104.5,113.5,0.5479999999999999,0.5,0.425,0.436,0.7440000000000001,47.7,26.4,9.3,4.1,4.1,-4.7,114.0,119.9,0.519,0,0.0,0.0,1488.358071966229,1490.1491002454995
0.667,0.414,0.347,0.789,49.2,23.1,15.0,6.2,4.2,2.6,100.7,97.7,0.51,0.3329999999999999,0.417,0.341,0.687,47.4,22.7,15.1,7.2,6.9,-9.9,101.0,110.5,0.499,0,0.1,0.0,1496.522494422136,1469.703436965184
1.0,0.484,0.406,0.8959999999999999,48.1,21.6,13.9,6.7,6.3,10.6,119.7,108.6,0.607,0.0,0.441,0.308,0.775,37.2,18.8,12.1,8.7,11.6,-2.4,108.7,111.7,0.5589999999999999,0,0.1,0.0,1509.8508997545005,1492.6554267938436
0.5,0.482,0.4379999999999999,0.7759999999999999,38.9,21.3,16.1,9.0,3.8,2.4,116.6,114.2,0.623,0.5,0.418,0.418,0.746,34.2,23.8,13.4,9.9,3.5,-6.9,105.9,112.9,0.545,0,0.0,0.1,1495.165763350518,1510.3404407520968
1.0,0.483,0.3879999999999999,0.6829999999999999,51.7,25.6,18.4,6.8,5.8,8.7,111.6,103.4,0.589,0.3329999999999999,0.424,0.344,0.7559999999999999,41.3,18.7,11.3,9.7,2.6,4.8,107.1,101.9,0.523,1,0.1,0.0,1511.7761657567469,1490.2376229649471
0.5,0.4679999999999999,0.325,0.722,39.2,27.9,12.3,7.4,6.4,-8.3,117.6,125.4,0.5720000000000001,0.0,0.4679999999999999,0.3329999999999999,0.789,38.8,26.2,11.2,3.9,4.4,-10.2,108.7,118.4,0.547,1,0.1,0.0,1505.2435148748675,1494.2209571196142
1.0,0.467,0.381,0.733,47.8,21.9,13.3,4.7,5.0,9.3,115.0,106.0,0.5670000000000001,0.667,0.451,0.415,0.708,44.0,24.6,12.6,6.5,8.1,10.4,111.7,101.6,0.564,1,0.2,0.2,1516.699769850423,1531.8379648130108
1.0,0.415,0.375,0.8220000000000001,47.5,21.0,13.5,4.5,4.5,2.5,110.5,108.0,0.519,0.667,0.449,0.358,0.794,47.7,26.1,12.6,8.4,5.2,0.6,106.5,106.1,0.547,1,0.1,0.1,1505.7790428803858,1502.8849653615046
1.0,0.43,0.2739999999999999,0.7170000000000001,50.8,22.3,12.6,9.4,6.1,12.6,105.5,93.2,0.53,0.3329999999999999,0.528,0.409,0.722,37.1,21.0,12.8,7.6,3.6,-4.6,114.6,117.7,0.601,1,0.2,0.1,1520.41300640204,1500.0772157571237
1.0,0.56,0.4639999999999999,0.691,48.4,32.4,12.8,6.4,3.2,17.8,127.9,111.6,0.645,0.667,0.434,0.304,0.8490000000000001,47.1,20.9,13.7,4.6,6.2,3.3,104.9,102.0,0.5429999999999999,1,0.1,0.2,1513.1692845702864,1515.803888601601
1.0,0.478,0.4,0.6920000000000001,52.3,25.8,17.1,6.1,6.8,9.4,114.5,105.8,0.5870000000000001,0.5,0.462,0.348,0.769,46.6,26.8,11.9,6.9,5.7,0.2,109.7,110.0,0.561,1,0.2,0.1,1519.8423187347632,1499.6751330416646
0.3329999999999999,0.413,0.314,0.723,50.5,20.1,16.8,4.5,6.8,-1.0,105.5,106.5,0.51,0.25,0.432,0.344,0.774,41.5,19.4,11.4,8.7,2.4,1.0,108.0,106.5,0.526,1,0.0,0.0,1495.573632860301,1482.1714699869308
1.0,0.493,0.382,0.753,47.1,25.3,13.6,6.0,5.7,12.2,117.4,106.0,0.594,0.5,0.47,0.356,0.897,40.3,23.1,13.8,9.0,5.8,2.4,115.5,113.1,0.591,1,0.3,0.2,1531.2166782811926,1510.407350009084
0.3329999999999999,0.48,0.407,0.6990000000000001,39.7,24.0,16.9,7.7,4.6,-3.4,109.8,113.6,0.589,0.667,0.455,0.3229999999999999,0.787,39.9,27.1,13.5,7.6,5.0,-3.6,117.2,120.4,0.569,1,0.1,0.2,1510.8007663577675,1511.173760969575
0.3329999999999999,0.455,0.376,0.71,40.3,22.7,13.4,6.7,5.4,-4.2,111.2,114.6,0.5660000000000001,0.3329999999999999,0.44,0.381,0.778,43.1,20.6,16.0,8.2,4.6,-1.0,107.8,108.8,0.57,0,0.1,0.0,1507.1407548824952,1484.8166515181747
0.25,0.527,0.412,0.6629999999999999,37.4,22.8,13.5,7.4,4.2,-6.7,113.7,119.4,0.599,0.667,0.402,0.386,0.763,37.7,22.2,12.8,10.1,3.0,-2.0,103.0,105.1,0.525,1,0.1,0.2,1490.605725603369,1520.6895525844402
0.3329999999999999,0.4589999999999999,0.364,0.754,42.6,26.1,17.2,6.3,2.3,-8.9,104.0,112.9,0.574,0.0,0.493,0.287,0.6990000000000001,42.1,24.9,12.2,6.8,6.5,-5.6,111.6,117.6,0.5660000000000001,0,0.0,0.0,1471.0847749553286,1483.5507787675929
0.0,0.481,0.4029999999999999,0.746,37.4,23.6,13.8,4.6,4.3,-8.9,109.2,117.6,0.5660000000000001,0.5,0.444,0.397,0.735,43.3,23.7,12.5,6.1,7.3,2.7,110.3,107.3,0.5489999999999999,1,0.0,0.2,1488.290711024907,1517.3210563822413
0.667,0.455,0.47,0.741,45.3,27.0,8.8,5.5,3.6,-2.6,118.2,122.0,0.557,0.5,0.486,0.426,0.654,46.0,20.6,15.8,6.8,5.3,5.3,109.3,103.5,0.56,0,0.1,0.1,1494.9563934441358,1493.9337565863707
0.0,0.451,0.362,0.768,45.2,21.2,15.4,4.5,1.3,-13.5,108.3,121.4,0.54,0.3329999999999999,0.486,0.351,0.735,45.0,25.2,20.5,5.7,5.7,-7.0,107.0,114.1,0.584,0,0.0,0.1,1471.5592769448292,1489.8234146868872
0.75,0.493,0.342,0.826,44.0,27.3,17.0,8.0,5.6,6.6,110.2,103.1,0.586,0.3329999999999999,0.432,0.3429999999999999,0.753,40.2,19.0,10.7,7.4,9.5,-1.2,107.4,108.3,0.542,1,0.2,0.1,1513.3364552921134,1497.7501029334755
0.25,0.5,0.302,0.708,42.0,26.8,11.1,8.2,6.1,-0.2,115.0,115.7,0.573,1.0,0.4539999999999999,0.298,0.7340000000000001,50.2,24.4,12.4,9.8,5.4,12.9,110.2,97.6,0.547,1,0.1,0.3,1501.06326263784,1529.8844965557946
0.5,0.415,0.325,0.688,48.1,24.2,13.7,7.0,5.7,-6.7,99.8,106.8,0.494,0.667,0.452,0.361,0.8859999999999999,51.7,20.4,14.9,6.1,5.2,6.4,113.4,107.3,0.5710000000000001,0,0.1,0.1,1476.9535020970202,1504.7562236148683
1.0,0.435,0.371,0.778,45.5,20.6,11.3,4.2,4.2,1.9,114.2,111.9,0.532,0.0,0.434,0.322,0.7959999999999999,47.3,20.5,15.4,4.6,1.5,-14.1,103.4,117.6,0.518,1,0.2,0.0,1508.9888752002255,1455.6940048024503
0.0,0.39,0.239,0.667,46.8,19.6,14.6,8.9,6.0,-11.1,98.7,110.5,0.473,0.5,0.412,0.312,0.7879999999999999,50.2,22.9,14.4,6.2,4.0,1.2,99.3,97.3,0.501,0,0.0,0.1,1475.4507842222645,1489.2724292903
1.0,0.517,0.4,0.716,47.5,28.7,11.1,8.0,4.6,14.2,122.2,109.4,0.604,0.5,0.473,0.367,0.747,45.1,24.8,19.0,6.3,4.6,-1.3,106.6,107.6,0.574,1,0.2,0.2,1520.0087638783891,1505.688686829266
1.0,0.498,0.375,0.752,46.6,25.5,14.3,6.6,6.2,11.2,116.5,105.8,0.594,0.5,0.446,0.318,0.743,41.7,25.8,14.0,7.2,5.8,-4.3,110.6,115.2,0.5539999999999999,1,0.4,0.2,1537.3990637952152,1504.3994220042518
